FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month
2-JKS044.60,5,18.961111111111112,13,22.7,18,May
2-JKS044.60,6,24.918,22.2,26.5,15,June
2-JKS044.60,7,26.47611111111111,23.8,29.1,18,July
2-JKS044.60,8,26.052777777777777,24.03,27.6,18,August
2-JKS044.60,9,23.497692307692308,20.6,25.24,13,September
2-JKS044.60,10,18.071578947368423,15.56,21.75,19,October
2-JKS046.40,5,18.86888888888889,13,22.5,18,May
2-JKS046.40,6,24.751333333333335,21.5,26.37,15,June
2-JKS046.40,7,26.410555555555554,23.8,29.7,18,July
2-JKS046.40,8,25.812941176470588,22.5,27.5,17,August
2-JKS046.40,9,23.220769230769232,18.8,25.12,13,September
2-JKS046.40,10,18.11111111111111,15.2,22,18,October
2-JKS048.90,5,19.05,12.7,23,18,May
2-JKS048.90,6,24.97,22.3,26.9,13,June
2-JKS048.90,7,26.754444444444445,23.7,31.3,18,July
2-JKS048.90,8,25.855555555555554,20.8,27.7,18,August
2-JKS048.90,9,23.49692307692308,20.3,25.2,13,September
2-JKS048.90,10,18.24736842105263,15.72,22.1,19,October
2-JKS053.48,5,19.215,13,24.6,18,May
2-JKS053.48,6,25.896923076923077,22.8,28.2,13,June
2-JKS053.48,7,27.7225,24.7,31,16,July
2-JKS053.48,8,26.741176470588236,23.65,28.9,17,August
2-JKS053.48,9,23.6425,18.2,26.4,12,September
2-JKS053.48,10,17.13764705882353,12.22,22.4,17,October
2-XDD000.40,5,23.718333333333334,18.4,31.34,13,May
2-XDD000.40,6,28.524545454545454,24.22,32.17,12,June
2-XDD000.40,7,30.678666666666665,27.2,35.3,15,July
2-XDD000.40,8,29.967586206896552,26.7,35.14,30,August
2-XDD000.40,9,26.15888888888889,20.9,31.51,10,September
2-XDD000.40,10,19.615384615384617,15.6,24.12,13,October
4ABSA000.62,5,21.374583333333334,16.7,26.76,24,May
4ABSA000.62,6,25.574166666666667,16,29.6,36,June
4ABSA000.62,7,28.0924,25.3,31.14,25,July
4ABSA000.62,8,27.433870967741935,25,29.9,31,August
4ABSA000.62,9,25.0665,21.4,29.49,20,September
4ABSA000.62,10,19.781,16,24.5,30,October
4ABWR002.50,5,21.237083333333334,14,26.75,24,May
4ABWR002.50,6,25.757631578947368,13.4,29.81,38,June
4ABWR002.50,7,28.112962962962964,25.23,31.27,27,July
4ABWR002.50,8,27.29875,25.1,29.86,32,August
4ABWR002.50,9,24.96666666666667,19,29.43,21,September
4ABWR002.50,10,19.880294117647058,16.9,24.8,34,October
4ABWR010.55,5,22.261666666666667,15,27.27,24,May
4ABWR010.55,6,26.7772972972973,22,30.8,37,June
4ABWR010.55,7,29.02925925925926,26.13,32.09,27,July
4ABWR010.55,8,27.76794117647059,16,30.52,34,August
4ABWR010.55,9,25.503333333333334,22,30.04,21,September
4ABWR010.55,10,20.131212121212123,17.1,25,33,October
4ABWR017.42,5,22.645833333333332,17,26.87,24,May
4ABWR017.42,6,27.111764705882354,21.5,32.1,34,June
4ABWR017.42,7,29.275555555555556,26,31.9,27,July
4ABWR017.42,8,28.261290322580646,25.78,30.54,31,August
4ABWR017.42,9,25.693333333333335,22.1,30.82,21,September
4ABWR017.42,10,20.04939393939394,16.1,25.4,33,October
4ACCK001.80,5,21.25875,17,25.71,24,May
4ACCK001.80,6,25.543225806451613,9,29.7,31,June
4ACCK001.80,7,28.592608695652174,26.8,30.35,23,July
4ACCK001.80,8,28.21857142857143,24.54,30.1,28,August
4ACCK001.80,9,24.341923076923077,12.7,29.86,26,September
4ACCK001.80,10,20.06576923076923,17.1,29,26,October
4ACOA000.60,5,21.339583333333334,16.3,27,24,May
4ACOA000.60,6,25.99735294117647,21.63,29.3,34,June
4ACOA000.60,7,27.9712,25.3,30.63,25,July
4ACOA000.60,8,27.260689655172413,25,29.21,29,August
4ACOA000.60,9,24.985,21.68,29.09,20,September
4ACOA000.60,10,19.918333333333333,16.7,24.5,30,October
4AGIL002.39,5,22.364166666666666,17,26.98,24,May
4AGIL002.39,6,26.7775,22.8,30.2,36,June
4AGIL002.39,7,28.935185185185183,26.1,32.01,27,July
4AGIL002.39,8,27.978181818181817,25.59,30.6,33,August
4AGIL002.39,9,25.493333333333332,21.6,30.08,21,September
4AGIL002.39,10,20.08451612903226,16.9,25.3,31,October
4AROA018.36,5,22.258666666666667,20,26.57,15,May
4AROA018.36,6,27.155625,23,31,16,June
4AROA018.36,7,29.185,26,31.5,22,July
4AROA018.36,8,28.778,26,31,20,August
4AROA018.36,9,27.241666666666667,23.99,31.04,12,September
4AROA018.36,10,22.828,18.56,26,10,October
4AROA038.49,5,21.935454545454544,17.78,28.25,22,May
4AROA038.49,6,26.739166666666666,21.11,31.11,24,June
4AROA038.49,7,29.31058823529412,24.44,32.97,34,July
4AROA038.49,8,28.919354838709676,23.89,32.22,31,August
4AROA038.49,9,26.543181818181818,23.28,30.43,22,September
4AROA038.49,10,19.949473684210528,12.22,25.81,19,October
