Lake/Reservoir,Level3_Ecoregion,RegionalOffice,PWS,StationID,Location,LAT,LONG,Depth(m)
Abel Lake Reservoir (Long Branch),Piedmont,NRO,Yes,1ALOH001.51,Abel Lake - Mid Lake (Long Branch Arm),38.404944,-77.491361,1
Airfield Pond,Southeastern Plains,PRO, ,5ALTD005.10,STA 1-AIRFIELD POND PORTION OF LIGHTWOOD,36.908611,-77.028611,1
Amelia Lake,Piedmont,PRO, ,2-XLW000.60,NEAR THE DAM - AMELIA LAKE- AMELIA CO,37.470278,-77.921389,7
Bark Camp Lake,Central Appalachians,SWRO, ,6BLSR008.52,CORDER BOTTOM LAKE - STA 3- WESTERN ARM,36.866667,-82.526667,1
Beaver Creek Reservoir,Northern Piedmont,VRO,Yes,2-BVR002.19,Above Dam - Beaver Creek Reservoir,38.071667,-78.652778,1
Beaverdam Reservoir (NRO),Northern Piedmont,NRO, ,1ABEE000.40,Beaverdam Creek Reservoir  Near spillway,39.024167,-77.540556,1
Beaverdam Reservoir (BRRO),Blue Ridge,BRRO,Yes,4AXKD003.34,BEAVERDAM RESERVOIR-100' FROM DAM BEDFOR,37.312778,-79.816111,9
Bedford Reservoir,Blue Ridge,BRRO,Yes,4ASCB004.58,"""BEDFORD RESERVOIR"" STATION AT DAM (BEDF",37.444444,-79.549722,8
Big Cherry Reservior,Central Appalachians,SWRO,Yes,6BPLL012.79,STA #1 BIG CHERRY RES.EAST OF BIG STONE,36.846667,-82.671389,1
Briery Creek Lake,Piedmont,PRO, ,2-BRI010.78,BRIERY CREEK LAKE STA.#1 AT DAM PRINCE E,37.201667,-78.445278,7
Brunswick Lake (County Pond),Piedmont,PRO, ,5ARDC007.30,Brunswick County Lake near dam,36.782778,-77.728889,1
Burke Lake,Piedmont,NRO, ,1ASOH006.66,Burke Lake - Next to spillway,38.75622,-77.29562,1
Carvin Cove Reservoir,Ridge and Valley,BRRO,Yes,4ACRV006.19,Carvins Cove Res. at Dam,37.369614,-79.958522,10
Cherrystone Reservoir,Piedmont,BRRO,Yes,4ACRR008.32,STATION #1 AT DAM - PITTSYLVANIA COUNTY,36.851389,-79.431389,1
Chickahominy Lake,Southeastern Plains,PRO,Yes,2-CHK025.15,"Chickahominy Reservoir, Station 1",37.403611,-76.952778,1
Chris Green Lake,Northern Piedmont,VRO,Yes,2-JCB000.80,STATION A-CHRIS GREEN LAKE STA. A ALBERM,38.163611,-78.437222,1
Claytor Lake Lower (New River),Ridge and Valley,BRRO, ,9-NEW087.14,Dam - Claytor Lake,37.07396,-80.589305,22
Coles Run Reservoir,Blue Ridge,VRO,Yes,1BCLS003.60,"COLES RUN RESERVOIR STA.#A,50 FT UPSTREA",37.975556,-79.03,1
Conner Lake,Piedmont,BRRO,Yes,4AHTA003.26,STATION 1 - CONNER LAKE (PORTION OF HUNT,36.924167,-78.799722,1
Curtis Lake,Piedmont,NRO,Yes,1ALOH007.93,CURTIS LAKE - 100' FROM DAM,38.434167,-77.562222,5
Diascund Creek Reservoir,Southeastern Plains,PRO,Yes,2-DSC005.91,Diascund Reservoir off dam,37.430556,-76.893889,1
Douthat Lake,Ridge and Valley,VRO, ,2-WLN007.36,STATION A1 - NEAR THE DAM - BATH COUNTY,37.903611,-79.8025,8
Elkhorn Lake,Ridge and Valley,VRO,Yes,1BNTH045.36,STATION A1 - NEAR THE DAM - AUGUSTA COUN,38.328056,-79.225278,7
Fairystone Lake (Goblin Town Creek),Piedmont,BRRO, ,4AGOB003.86,FAIRY STONE LAKE STATION AT DAM - PATRIC,36.799167,-80.101111,43
Falling Creek Reservoir,Southeastern Plains,PRO, ,2-FAC003.85,FALLING CREEK NR DAM-FALLING CREEK RES.,37.462242,-77.465942,6
Fluvanna Ruritan Lake,Piedmont,VRO, ,2-CFK004.34,FLUVANNA RURITAN LAKE - STATION A - FLUV,37.891111,-78.373333,1
Fort Pickett Reservoir,Piedmont,PRO,Yes,5ANTW127.14,Ft Pickett RESERVOIR AT DAM,36.987494,-77.965976,3
Gatewood Reservoir,Ridge and Valley,BRRO,Yes,9-PKC016.91,Above Dam,37.041047,-80.860753,10
Georges Creek Reservoir,Piedmont,BRRO,Yes,4AGEO011.38,Georges Creek Res (Gretna Lake),36.960833,-79.361111,2
Graham Creek Reservoir,Piedmont,BRRO,Yes,2-GRA000.40,GRAHAM RESERVOIR AT DAM - AMHERST CO.,37.490278,-79.165833,5
Great Creek Reservoir,Piedmont,PRO,Yes,5AGTC009.94,"GREAT CREEK RESERVOIR, NEAR DAM",36.778472,-77.890861,1
