SiteNo,STA_DESC,Stations,Profiles,MinYear,MaxYear,Year Range,Mean Max Depth,Filter Depth,Station Depth
91,Dam - Lake Moomaw,2-JKS044.60,101,1983,2022,39,30,25,30
92,Mouth Big Lick Cr. - Lake Moomaw,2-JKS046.40,99,1983,2022,39,25,21,26
93,Bolar Mtn. Campground - Lake Moomaw,2-JKS048.90,99,1983,2022,39,19,16,19
94,McClintic Pt. - Lake Moomaw,2-JKS053.48,93,1983,2022,39,4,EX,4
177,UT to CHK in pond at dam,2-XDD000.40,93,2003,2016,13,0,EX,0.3
208,Mouth of Bull Run,4ABSA000.62,166,1985,2023,38,26,22,28
210,Lower Blackwater River - SML,4ABWR002.50,176,1983,2023,40,32,27,32
211,Middle Blackwater River - SML,4ABWR010.55,176,1983,2023,40,24,20,26
214,Upper Blackwater River - SML,4ABWR017.42,170,1983,2023,40,7,5,7
216,Mouth Craddock Cr. - SML,4ACCK001.80,158,1987,2023,36,28,24,29
217,Cool Branch - SML,4ACOA000.60,162,1985,2023,38,26,22,28
227,Gills Creek - SML,4AGIL002.39,172,1984,2023,39,13,11,14
240,BUOY 1 - JOHN H. KERR RESERVOIR,4AROA018.36,95,1974,2023,49,18,15,23
252,STA # 20 KR - RT. 49/58/15 BRIDGE - KERR,4AROA038.49,152,1968,2023,55,3,6,6
257,LEESVILLE  LK #1A-TOP #1B-MIDDLE #1C-BOT,4AROA140.66,119,1977,2023,46,15,13,16
258,LEESVILLE LK #2A-RMP BEDFORD/CAMPBELL CO,4AROA145.34,119,1977,2023,46,12,10,13
261,Dam - SML,4AROA158.22,172,1983,2023,40,37,32,37
264,Confl. Blackwater River - SML,4AROA163.76,174,1983,2023,40,34,29,34
265,Buoy R12 - SML,4AROA167.34,165,1985,2023,38,32,28,33
268,Hales Ford - SML,4AROA175.63,218,1971,2023,52,25,21,31
269,Confl. Indian Cr. - SML,4AROA180.21,171,1985,2023,38,26,22,28
270,Confl. Beaverdam Cr. - SML,4AROA183.64,181,1983,2023,40,20,17,20
272,"SMITH MTN. LAKE, HARDYS FORD",4AROA192.55,201,1971,2012,41,0,EX,0.3
273,HARDY FORD - SML,4AROA192.94,176,1983,2023,40,4,3,3.4
275,McVeigh Ford - SML,4AROA196.05,196,1971,2020,49,2,EX,2.0
280,Dam - Philpott Res.,4ASRE046.90,137,1971,2023,52,24,20,34
283,Goose Point - Philpott Res.,4ASRE048.98,99,1983,2023,40,30,25,31
286,"#3A,#3B,#3C HORSEHOE POINT - TOP,MIDDLE,",4ASRE052.31,89,1977,2019,42,28,24,30
290,Union Bridge - Phipott Res.,4ASRE056.06,118,1983,2023,40,11,9,14
294,Mouth of Witcher Cr. - SML,4AWTH000.40,158,1987,2023,36,29,25,30
315,Bryants Pond above dam,5ASRN000.66,69,2004,2016,12,0,EX,0.3
319,AT MOUTH CRANESNEST RIVER,6ACNR000.00,83,1974,1991,17,0,EX,0.3
330,John Flannagan Reservoir ~2 MI upstr CNR,6APNR008.15,88,1973,1991,18,0,EX,0.3
424,Lake Anna - Upstream from Rt. 208 Bridge,8-NAR047.69,111,2003,2023,20,10,9,11
427,LAKE ANNA -  Upstream Rt. 719 Bridge,8-NAR054.17,97,1996,2023,27,6,5,6
462,Dam - Claytor Lake,9-NEW087.14,211,1972,2023,51,26,22,32
463,State Park - Claytor Lake,9-NEW089.34,209,1972,2023,51,22,19,28
464,Dublin Water Works - Claytor Lake,9-NEW092.66,210,1972,2023,51,21,18,27
466,Shop Eez boat ramp off Rt. 672,9-NEW098.32,361,1972,2023,51,3,6,7
470,Mouth Peak Cr. - Claytor Lake,9-PKC000.00,170,1983,2023,40,21,18,23
471,Peak Creek - Conrad Bros. - Claytor Lake,9-PKC004.16,170,1983,2023,40,2,3,3.2
