,FDT_STA_ID,Date,Year,Month,DOY,decDate,MaxDepth.x,TMin,TMean,TMax,TRange,DOMin,DOMean,DOMax,DORange,TotObs_Sta,MinYear,MaxYear,YearRange,MinDepth,MeanDepth,MaxDepth.y,MedDepth,Mean Tmax,Tmax Anom
8941,4AROA038.49,4/23/1969,1969,4,113,1969.306849,0.3,17.8,17.8,17.8,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,17.2,0.6
8945,4AROA038.49,4/20/1970,1970,4,110,1970.29863,0.3,15.0,15.0,15.0,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-2.2
8955,4AROA038.49,4/4/1971,1971,4,94,1971.254795,0.3,15.6,15.6,15.6,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-1.6
8968,4AROA038.49,4/13/1972,1972,4,104,1972.281421,0.3,13.3,13.3,13.3,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-3.9
8984,4AROA038.49,4/12/1973,1973,4,102,1973.276712,0.3,11.1,11.1,11.1,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-6.1
9018,4AROA038.49,4/26/1989,1989,4,116,1989.315068,11,12.3,14.5,18.4,6.1,5.89,7.734,11.13,5.24,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.2
9037,4AROA038.49,4/24/2002,2002,4,114,2002.309589,0.3,20.7,20.7,20.7,0.0,9.29,9.29,9.29,0,197,1968,2023,55,0.3,3.3,14.0,0.3,,3.5
9045,4AROA038.49,4/19/2005,2005,4,109,2005.29589,11.37,13.5,14.9,19.3,5.8,10.43,11.164,13.34,2.91,197,1968,2023,55,0.3,3.3,14.0,0.3,,2.1
9069,4AROA038.49,4/22/2010,2010,4,112,2010.30411,6,17.3,17.9,18.5,1.2,9.1,9.7,10.2,1.1,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.3
9076,4AROA038.49,4/16/2012,2012,4,107,2012.289617,7,15.4,17.5,18.8,3.5,6.39,9.428,10.64,4.25,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.6
9083,4AROA038.49,4/24/2014,2014,4,114,2014.309589,7,14.6,14.9,15.7,1.1,9.13,9.543,10.3,1.17,197,1968,2023,55,0.3,3.3,14.0,0.3,,-1.5
9090,4AROA038.49,4/20/2016,2016,4,111,2016.300546,10,14.3,16.2,17.9,3.6,7.49,9.291,10.52,3.03,197,1968,2023,55,0.3,3.3,14.0,0.3,,0.8
9097,4AROA038.49,4/26/2018,2018,4,116,2018.315068,7,15.2,15.5,16.2,1.0,8.38,8.566,8.91,0.53,197,1968,2023,55,0.3,3.3,14.0,0.3,,-1.0
9104,4AROA038.49,4/10/2019,2019,4,100,2019.271233,7,13.6,16.3,18.0,4.4,9.92,10.305,10.77,0.85,197,1968,2023,55,0.3,3.3,14.0,0.3,,0.8
9115,4AROA038.49,4/13/2021,2021,4,103,2021.279452,7,17.7,18.5,19.1,1.4,7.58,8.229,8.67,1.09,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.9
9121,4AROA038.49,4/13/2022,2022,4,103,2022.279452,7,14.2,15.5,17.8,3.7,8.43,9.562,11.33,2.9,197,1968,2023,55,0.3,3.3,14.0,0.3,,0.7
9128,4AROA038.49,4/17/2023,2023,4,107,2023.290411,0.3,18.9,18.9,18.9,0.0,9.48,9.48,9.48,0,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.7
