FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
2-JKS044.60,8,2.462727272727272,0.11,5.09999999999999,14,August,2-JKS044.60_8,-0.09204545454545451,0.08760818181818118,0.14746093749999997,5.767954545454545,DOMin
2-JKS046.40,8,1.2815384615384615,0.12,3.3,15,August,2-JKS046.40_8,-0.03462171052631579,0.05244011594075429,0.21630859375000014,2.5441118421052633,DOMin
2-JKS048.90,8,0.47923076923076924,0,2,17,August,2-JKS048.90_8,-0.019642857142857142,0.023192099999999997,0.006103515625000004,0.9464285714285714,DOMin
4ABSA000.62,8,1.0004,0.1,2.5,26,August,4ABSA000.62_8,-0.009999999999999998,0.0518204,0.2139204809298949,1.6,DOMin
4ABWR002.50,8,1.7304761904761905,0,3.71,26,August,4ABWR002.50_8,0.06960317460317461,0.07430522497420018,0.001858711242675781,-0.4688068181818181,DOMin
4ABWR010.55,8,0.7208695652173913,0.09,2.7,26,August,4ABWR010.55_8,-0.03333333333333334,0.03741799999999998,2.781995283811634e-4,1.6133333333333333,DOMin
4ABWR017.42,8,0.6957142857142857,0.12,3.66,24,August,4ABWR017.42_8,-0.004730769230769231,0.022248003643724687,0.6332969665527343,0.6311538461538462,DOMin
4ACCK001.80,8,1.8799999999999994,0.1,4.09999999999999,23,August,4ACCK001.80_8,0.026973684210526316,0.09700068421052632,0.3524589538574219,1.0230027173913046,DOMin
4ACOA000.60,8,1.1120833333333333,0.1,2.23,24,August,4ACOA000.60_8,-0.010833333333333327,0.06501083333333335,0.4937627366612692,1.2775,DOMin
4AGIL002.39,8,0.5095652173913043,0.09,3.3,27,August,4AGIL002.39_8,-0.00472222222222222,0.014884833333333326,0.2001552581787109,0.46777777777777774,DOMin
4AROA018.36,8,0.26181818181818184,0,0.65,11,August,4AROA018.36_8,0.017142857142857147,0.013970242424242418,0.08300781249999999,-0.4038992042440318,DOMin
4AROA038.49,8,3.645714285714284,0.4,5.87,14,August,4AROA038.49_8,0.003869047619047372,0.0194390681818178,0.10255510870954554,4.148351515151518,DOMin
4AROA140.66,8,0.40714285714285714,0,1.21,17,August,4AROA140.66_8,0.012916666666666667,0.00903038181818182,0.16219923411315051,-0.12606060606060604,DOMin
4AROA145.34,8,1.803076923076923,0.21,4.2,17,August,4AROA145.34_8,-0.031190476190476192,0.04698429999999999,0.026611328125000017,3.3762500000000006,DOMin
