FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
2-JKS044.60,5,10.504375,8.5,11.6,18,May,0.051904761904761926,0.05985155113636362,0.0017545995353438052
2-JKS044.60,6,11.598181818181818,9.19999999999999,13.47,15,June,-0.03142857142857139,0.04134987692307698,0.20605468749999997
2-JKS044.60,7,10.481333333333332,7.6,13.48,18,July,0.14318181818181874,0.04548886363636446,8.544921875000003e-4
2-JKS044.60,8,9.775384615384613,8.3,12.02,18,August,0.061666666666666634,0.037126775000000875,0.021484375000000014
2-JKS044.60,9,8.509999999999998,6.19,9.61999999999999,13,September,-0.019062499999999927,0.04768686805555561,0.4548339843750002
2-JKS044.60,10,7.663749999999999,6.54,9.27999999999999,19,October,-0.024200000000000027,0.02532774999999995,0.05065917968750001
2-JKS046.40,5,10.54125,7.6,11.9,18,May,0.014910714285714291,0.030742147058823492,0.015764410937974094
2-JKS046.40,6,11.266363636363636,9.4,13.38,15,June,-0.0370833333333334,0.07011462499999994,0.10156249999999999
2-JKS046.40,7,9.998666666666667,5.09999999999999,13,18,July,0.06752747252747254,0.05069623076923082,0.030151367187500007
2-JKS046.40,8,9.22153846153846,7.9,11.1,17,August,0.024071428571428615,0.02114469999999991,0.05737304687500004
2-JKS046.40,9,8.433076923076921,5.6,10.43,13,September,-0.024833333333333367,0.022644666844919798,0.047851562500000035
2-JKS046.40,10,7.480666666666665,4.3,9.22,18,October,0.007916666666666912,0.03243187499999963,0.8903808593750001
2-JKS048.90,5,10.30125,7.4,11.6,18,May,0.018333333333333535,0.03593245833333359,0.05245229006343925
2-JKS048.90,6,10.17111111111111,8.3,11.2,13,June,-0.04986111111111102,0.07968974999999998,0.42578125
2-JKS048.90,7,9.400714285714285,8,11.84,18,July,0.024750000000000008,0.05543865,0.13180891445857051
2-JKS048.90,8,8.743076923076922,6.6,11,18,August,0.011666666666667455,0.05702807894736802,0.1271972656250001
2-JKS048.90,9,8.399230769230767,5.7,9.19999999999999,13,September,-0.004687500000000011,0.016499375735294138,0.4143066406250002
2-JKS048.90,10,8.455333333333332,7.48,10,19,October,0.027435294117647106,0.02147958678733027,0.025573730468750007
2-JKS053.48,5,9.73125,7.1,11.4,18,May,-0.03487500000000001,0.041203924999999926,0.12709364815965674
2-JKS053.48,6,9.356666666666667,7.7,11.08,13,June,0.02160714285714281,0.11644988636363643,1
2-JKS053.48,7,9.214615384615385,7.7,11.4,16,July,3.3492822966506465e-4,0.025696035406698584,0.8393554687500002
2-JKS053.48,8,8.715833333333332,7.77,9.63,17,August,0.02944444444444496,0.035711833333333755,0.013435415683849091
2-JKS053.48,9,8.619166666666667,6.6,9.59,12,September,0.008263888888888923,0.02016543356643299,0.1259438386422662
2-JKS053.48,10,9.257692307692308,7.8,10.4,17,October,0.05495833333333337,0.029746288157894867,2.4414062500000016e-4
2-XDD000.40,5,9.144444444444442,5.05999999999999,12.7,13,May,-0.29499999999999993,0.35644174999999795,0.0078125
2-XDD000.40,6,11.258333333333331,8.59,13.25,12,June,0.6799999999999953,0.37559200000000703,0.14111613817133617
2-XDD000.40,7,10.7075,3.95,14.28,15,July,0.46340909090909177,0.2190017348484863,0.007812500000000002
2-XDD000.40,8,11.161999999999999,6.9,15.82,30,August,0.09964285714285703,0.6750419000000001,0.625
2-XDD000.40,9,6.521666666666666,3.43,14.13,10,September,0.4957142857142872,0.265941375,0.05847526156565288
2-XDD000.40,10,8.257272727272728,4.33,16.2,13,October,0.3426388888888889,0.3607365833333331,0.0019531249999999998
4ABSA000.62,5,10.659090909090908,9.19999999999999,13.7,24,May,0.020000000000000018,0.04052439999999997,0.45520895748731993
4ABSA000.62,6,10.483214285714281,7.9,16.3999999999999,36,June,0.01556818181818187,0.1293484261363637,0.25305725146775415
4ABSA000.62,7,10.3916,7.7,16.7,25,July,-0.0377840909090908,0.15980069318181916,0.03933870792388915
4ABSA000.62,8,9.564615384615378,8,11.53,31,August,0.0399999999999994,0.050434874999999976,0.0019438606023355418
4ABSA000.62,9,9.137999999999998,8.3,11.61,20,September,0.008571428571428246,0.0333584999999995,0.0293938939874211
4ABSA000.62,10,7.227499999999999,4.49,9.56,30,October,-0.043175438596491214,0.06401190526315786,0.006382128803838222
4ABWR002.50,5,10.513636363636353,8.9,13.5,24,May,0.0014144736842136604,0.03360560000000069,1
4ABWR002.50,6,10.376428571428567,7.2,17,38,June,-0.01312499999999998,0.14244753409091002,0.7823196095765768
4ABWR002.50,7,10.242399999999998,7.8,17,27,July,-0.020277777777777617,0.20797583333333325,0.23036134243011472
4ABWR002.50,8,9.498799999999997,7.6,11.84,32,August,0.05199999999999951,0.046872969230767475,0.014722049236297606
4ABWR002.50,9,9.176666666666664,8.1,12.45,21,September,0.041000000000000016,0.03269956666666653,1.3065338134765622e-4
4ABWR002.50,10,7.11576923076923,4.88,9.6,34,October,-0.03314814814814816,0.06385997076023386,0.03287536319139219
4ABWR010.55,5,10.822272727272727,9.3,14.7,24,May,0.049379699248120384,0.06764362500000004,0.08854470668839295
4ABWR010.55,6,10.53107142857142,7.3,16.3999999999999,37,June,-0.014572649572649615,0.06855441025642152,0.758512942915065
4ABWR010.55,7,10.886249999999995,8,14.55,27,July,-0.13999999999999435,0.09636900000001065,0.006355562587611632
4ABWR010.55,8,10.1588,8,12.71,34,August,0.011071428571428652,0.14303453030303037,0.7509929537773131
4ABWR010.55,9,9.263333333333332,7.8,11.55,21,September,0.03435897435897427,0.035319748251749154,0.001858711242675781
4ABWR010.55,10,7.006,4.65,9,33,October,-0.02649572649572652,0.05884464743589745,0.06670159101486205
