FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month
2-JKS044.60,5,8.706249999999999,6.6,10.6,18,May
2-JKS044.60,6,6.457272727272727,4.4,8.1,15,June
2-JKS044.60,7,4.093333333333332,0.1,6.2,18,July
2-JKS044.60,8,2.637692307692307,0.11,5.3,18,August
2-JKS044.60,9,0.9338461538461539,0.07,1.91,13,September
2-JKS044.60,10,0.8925,0.1,5.63,19,October
2-JKS046.40,5,8.538749999999999,7,10.4,18,May
2-JKS046.40,6,5.84090909090909,0.4,7.8,15,June
2-JKS046.40,7,3.335333333333333,0.9,6.3,18,July
2-JKS046.40,8,1.2815384615384615,0.12,3.3,17,August
2-JKS046.40,9,0.5307692307692308,0.1,1.5,13,September
2-JKS046.40,10,1.29,0.2,5.26,18,October
2-JKS048.90,5,7.814374999999999,3.84,9.69,18,May
2-JKS048.90,6,4.357777777777778,1.26,7.2,13,June
2-JKS048.90,7,2.5685714285714276,0.34,8.56,18,July
2-JKS048.90,8,0.47923076923076924,0,2,18,August
2-JKS048.90,9,0.8369230769230769,0.08,5.03,13,September
2-JKS048.90,10,4.166666666666667,0.1,8.15,19,October
2-JKS053.48,5,9.061874999999993,6.56,11.4,18,May
2-JKS053.48,6,7.083333333333334,3.6,9.4,13,June
2-JKS053.48,7,7.389230769230769,5.39,9.5,16,July
2-JKS053.48,8,7.3825,6,8.4,17,August
2-JKS053.48,9,8.149999999999999,6.22,9.1,12,September
2-JKS053.48,10,8.915384615384616,7.8,10.4,17,October
2-XDD000.40,5,9.144444444444442,5.05999999999999,12.7,13,May
2-XDD000.40,6,11.258333333333331,8.59,13.25,12,June
2-XDD000.40,7,10.7075,3.95,14.28,15,July
2-XDD000.40,8,11.161999999999999,6.9,15.82,30,August
2-XDD000.40,9,6.521666666666666,3.43,14.13,10,September
2-XDD000.40,10,8.257272727272728,4.33,16.2,13,October
4ABSA000.62,5,6.5663636363636355,2.65,10.26,24,May
4ABSA000.62,6,3.9696428571428557,1.34,8.86999999999999,36,June
4ABSA000.62,7,2.9163999999999994,0,8.39,25,July
4ABSA000.62,8,1.295,0.1,8.66,31,August
4ABSA000.62,9,0.8744999999999995,0.08,8.78999999999999,20,September
4ABSA000.62,10,2.5779166666666664,0.15,7.01,30,October
4ABWR002.50,5,7.1,4,10.13,24,May
4ABWR002.50,6,4.869999999999999,0.8,8.98,38,June
4ABWR002.50,7,3.5467999999999997,0,8.56,27,July
4ABWR002.50,8,2.1184,0,8.41,32,August
4ABWR002.50,9,0.9876190476190472,0.1,8.86999999999999,21,September
4ABWR002.50,10,2.0561538461538453,0.1,6.6,34,October
4ABWR010.55,5,4.475909090909091,0.98,10.67,24,May
4ABWR010.55,6,3.1346428571428553,0.02,10.68,37,June
4ABWR010.55,7,1.2041666666666662,0,8.77999999999999,27,July
4ABWR010.55,8,1.0288,0.09,8.59,34,August
4ABWR010.55,9,0.8166666666666667,0.07,9.27,21,September
4ABWR010.55,10,1.830399999999999,0.1,5.12,33,October
4ABWR017.42,5,3.8504545454545447,0.31,8.69999999999999,24,May
4ABWR017.42,6,3.2011538461538414,0.2,10.1999999999999,34,June
4ABWR017.42,7,2.17875,0.1,10.1,27,July
4ABWR017.42,8,1.966,0.12,9.34,31,August
4ABWR017.42,9,2.954761904761905,0.31,10.37,21,September
4ABWR017.42,10,7.458399999999999,5.31,11.28,33,October
4ACCK001.80,5,7.915217391304346,5.56,9.9,24,May
4ACCK001.80,6,6.072857142857143,0,9.9,31,June
4ACCK001.80,7,4.117391304347826,0.25,7.91,23,July
4ACCK001.80,8,2.4273913043478252,0.1,8.44999999999999,28,August
4ACCK001.80,9,1.4139999999999995,0.06,7.52,26,September
4ACCK001.80,10,3.6595238095238094,0.35,7.2,26,October
4ACOA000.60,5,7.1513636363636355,4.59999999999999,10.08,24,May
4ACOA000.60,6,5.035714285714285,1.19,8.81,34,June
4ACOA000.60,7,3.0349999999999997,0,8,25,July
4ACOA000.60,8,1.4780769230769226,0.1,8.53999999999999,29,August
4ACOA000.60,9,0.7804999999999995,0.1,8.69999999999999,20,September
4ACOA000.60,10,2.92,0.16,6.69,30,October
4AGIL002.39,5,3.486363636363636,0.8,10.7,24,May
4AGIL002.39,6,1.8267857142857107,0,10.1999999999999,36,June
4AGIL002.39,7,1.5003999999999995,0,8.86999999999999,27,July
4AGIL002.39,8,1.4023076923076923,0.09,8.8,33,August
4AGIL002.39,9,0.7285714285714285,0.08,8.52,21,September
4AGIL002.39,10,4.214999999999999,0.22,9,31,October
4AROA018.36,5,5.927272727272727,2.18,9.18,15,May
4AROA018.36,6,2.773636363636363,0.41,8.86999999999999,16,June
4AROA018.36,7,0.6217647058823529,0,7.72,22,July
4AROA018.36,8,1.1953333333333334,0,7.77,20,August
4AROA018.36,9,1.121818181818181,0,5.92,12,September
4AROA018.36,10,2.533333333333333,0.09,6.9,10,October
