FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS044.60,5,1.712,0.9,2.6,17,May,2-JKS044.60_5,-0.006858974358974357,0.020337516194331978,0.6787719726562501,15.417948717948711
2-JKS044.60,6,5.140909090909091,1.1,7.3,14,June,2-JKS044.60_6,-0.04176136363636361,0.09978066477272736,0.7646484374999999,88.86562499999995
2-JKS044.60,7,6.5799999999999965,1.8,10.9,16,July,2-JKS044.60_7,0.04819852941176472,0.11389609311740886,0.05158865413944105,-89.23113970588241
2-JKS044.60,8,7.426363636363637,3.2,10.21,14,August,2-JKS044.60_8,0.08842948717948718,0.27590987348178136,0.27832031249999994,-171.65483974358975
2-JKS044.60,9,7.576153846153845,4.69,9.55,13,September,2-JKS044.60_9,0.012689075630252126,0.0441817568627451,0.4973144531250002,-17.366554621848778
2-JKS044.60,10,7.390999999999999,6.68,8.86999999999999,11,October,2-JKS044.60_10,0.009999999999999787,0.02973003157894735,0.10224680958654243,-12.389999999999418
2-JKS046.40,5,2.022666666666666,0.54,3.8,17,May,2-JKS046.40_5,0.036590909090909104,0.06483968181818182,0.0033569335937500013,-70.68181818181819
2-JKS046.40,6,5.425454545454543,1.6,11,14,June,2-JKS046.40_6,-0.0010000000000016107,0.05244697500000243,0.9658203124999999,6.813000000003218
2-JKS046.40,7,6.827142857142856,3.1,10.15,16,July,2-JKS046.40_7,0.023872549019607826,0.11156564999999943,0.11889648437500003,-41.255441176470505
2-JKS046.40,8,7.9399999999999995,6,9.5,15,August,2-JKS046.40_8,0.03839285714285784,0.07274006250000105,0.08032226562500007,-68.53125000000162
2-JKS046.40,9,7.9023076923076925,4.63,9.94,13,September,2-JKS046.40_9,-0.011931818181818089,0.030021354020978858,0.37573242187500017,31.89840909090884
2-JKS046.40,10,6.204999999999999,1.38,8.81,15,October,2-JKS046.40_10,5.000000000000337e-4,0.0514918384615385,0.7063581381512473,5.971499999999923
2-JKS048.90,5,2.730769230769229,0.9,6.33,15,May,2-JKS048.90_5,0.07857859531772575,0.016259465491030724,4.882812500000003e-4,-155.47591973244147
2-JKS048.90,6,5.8133333333333335,1.1,8.08,12,June,2-JKS048.90_6,0.25755555555555554,0.07272343076923074,0.01171875,-512.8173333333333
2-JKS048.90,7,7.302499999999999,4.59999999999999,11.5,14,July,2-JKS048.90_7,0.06416666666666665,0.13837600000000053,0.03417968750000002,-121.81083333333329
2-JKS048.90,8,8.263846153846151,6.1,9.61999999999999,17,August,2-JKS048.90_8,0.018888888888888795,0.06893190196078419,0.09423828125000008,-29.42333333333311
2-JKS048.90,9,8.223999999999998,7.4,9,10,September,2-JKS048.90_9,-0.0383382352941177,0.032246549999999555,0.1026940116086454,85.51480882352956
4ABSA000.62,5,4.454736842105262,2.81,7.26,21,May,4ABSA000.62_5,0.005555555555555536,0.10872399999999874,0.6225624084472656,-6.683333333333293
4ABSA000.62,6,6.754814814814814,4.2,11.3,30,June,4ABSA000.62_6,0.06326666666666673,0.07757292666666675,0.010378450155258177,-120.94353333333328
4ABSA000.62,7,8.085454545454544,4.9,10.59,22,July,4ABSA000.62_7,0.10624999999999998,0.07857779999999925,0.0010400492872024998,-206.26125000000008
4ABSA000.62,8,8.600399999999999,5.7,11.27,26,August,4ABSA000.62_8,0.055499999999999924,0.0700940333333333,0.0055788159370422355,-103.01696969696957
4ABSA000.62,9,8.820555555555554,7.93,11.4,18,September,4ABSA000.62_9,0.022499999999999964,0.04618869230769222,0.08316092870843564,-36.42499999999973
4ABSA000.62,10,4.8517391304347814,0.18,8.5,25,October,4ABSA000.62_10,-1.3157894736839102e-4,0.19993424561403492,0.846231698989868,7.464868421052551
4ABWR002.50,5,3.814444444444444,1,8.8,20,May,4ABWR002.50_5,-0.03166666666666667,0.1265152000000005,0.19638824462890628,66.5583333333333
4ABWR002.50,6,5.993181818181817,2.1,14,29,June,4ABWR002.50_6,-0.134,0.09097772727272817,0.0016727447509765623,274.242
4ABWR002.50,7,7.333809523809524,2.9,11.19,22,July,4ABWR002.50_7,-0.10750000000000004,0.10378199999999992,0.0024824142456054683,223.6825000000002
4ABWR002.50,8,7.77,5.2,10.9,26,August,4ABWR002.50_8,-0.0739,0.08039398499999995,0.2029170989990234,156.3819
4ABWR002.50,9,8.598499999999998,6.4,12.21,20,September,4ABWR002.50_9,0.0152678571428565,0.027376078947368016,0.026346346744760687,-22.06794642857004
4ABWR002.50,10,5.943684210526316,0.3,8.69999999999999,25,October,4ABWR002.50_10,0.05511904761904765,0.122802994949495,0.036067962646484375,-103.01369047619053
4ABWR010.55,5,6.981,3.8,10.15,22,May,4ABWR010.55_5,0.05635338345864665,0.08622644298245616,0.03825204444825587,-106.10676691729329
4ABWR010.55,6,8.08,2.2,12.2,32,June,4ABWR010.55_6,0.21099206349206345,0.05848180416666669,6.556510925292966e-6,-415.77206349206335
4ABWR010.55,7,10.562272727272726,7.9,13.69,24,July,4ABWR010.55_7,-0.03499999999999992,0.10167438235294242,0.3806560885512098,81.64999999999964
4ABWR010.55,8,9.563043478260864,6.4,12.33,26,August,4ABWR010.55_8,0.05895454545453984,0.12622130075757568,0.017872810363769528,-108.94027272726153
4ABWR010.55,9,8.869,7.7,11.32,20,September,4ABWR010.55_9,0.05953333333333333,0.049062355263157914,1.678466796875e-4,-110.4815999999999
4ABWR010.55,10,5.303913043478261,0.86,8.8,29,October,4ABWR010.55_10,0.045357142857142804,0.1268505500000001,0.300133466720581,-84.04107142857139
4ABWR017.42,5,6.938888888888889,0.9,10.29,20,May,4ABWR017.42_5,-0.02499999999999991,0.14917572352941183,0.27620328978060316,57.62499999999977
4ABWR017.42,6,8.6825,0.6,15.3,27,June,4ABWR017.42_6,0.13604166666666667,0.11032777403846157,0.005410396461745989,-264.5185416666667
4ABWR017.42,7,9.243333333333334,4,12.52,24,July,4ABWR017.42_7,0.07669642857142853,0.08446407500000012,0.006280899047851562,-145.12973214285705
4ABWR017.42,8,9.309047619047618,7.6,12.47,24,August,4ABWR017.42_8,0.07636363636363627,0.08310422272727297,7.209777832031249e-4,-143.69636363636351
4ABWR017.42,9,7.3265,1.08,11.9,20,September,4ABWR017.42_9,0.11350000000000002,0.294357875,0.1505949980181257,-222.19450000000006
4ABWR017.42,10,1.7429411764705882,0,5.54,24,October,4ABWR017.42_10,-0.0026666666666666687,0.06029239999999997,0.8175811767578126,6.470666666666682
4ACCK001.80,5,2.9415,1.4,5.12,21,May,4ACCK001.80_5,0.08933333333333332,0.04571349999999998,2.3515403487594383e-4,-176.95266666666663
4ACCK001.80,6,4.460454545454543,2.29999999999999,10.4,25,June,4ACCK001.80_6,0.02752525252525298,0.05385412648221311,0.03212321043460454,-51.942424242425176
4ACCK001.80,7,6.69142857142857,3.4,9.75,14,July,4ACCK001.80_7,0.09097222222222223,0.06542266666666668,0.03276703077639401,-176.6229166666667
4ACCK001.80,8,7.4205263157894725,4.59999999999999,9.91,23,August,4ACCK001.80_8,0.01638461538461543,0.08529023076923072,0.4413337707519531,-26.365846153846416
4ACCK001.80,9,7.96611111111111,4.7,10.74,18,September,4ACCK001.80_9,0.13041666666666668,0.11816674999999996,0.0010882278455951108,-254.46500000000015
4ACCK001.80,10,3.473157894736842,0.39,9.65,22,October,4ACCK001.80_10,-0.06456818181818183,0.10678209886363636,0.040130615234375,130.8072272727273
4ACOA000.60,5,3.562,1.73,5.3,22,May,4ACOA000.60_5,0.0016666666666666804,0.06918800000000006,0.8617071676190446,0.1516666666666424
4ACOA000.60,6,5.572608695652173,2.29999999999999,8.8,27,June,4ACOA000.60_6,0.08303260869565243,0.07584627065217335,4.75168228149414e-4,-160.97890217391353
4ACOA000.60,7,7.416666666666662,4.59999999999999,11.22,21,July,4ACOA000.60_7,0.08500000000000002,0.082602,0.0016002655029296873,-163.56000000000006
4ACOA000.60,8,8.106666666666666,3.9,10.3,24,August,4ACOA000.60_8,0.07794444444444476,0.06764362500000004,1.1911688733936862e-4,-148.11777777777843
4ACOA000.60,9,8.711111111111109,7.7,10.29,18,September,4ACOA000.60_9,0.03133333333333367,0.012849199999997566,0.02351961549697235,-54.090000000000686
4ACOA000.60,10,5.057619047619047,0.2,9.15,24,October,4ACOA000.60_10,-0.009545454545454503,0.058742409090909144,0.4319114685058593,26.68363636363624
4AGIL002.39,5,7.9544999999999995,4.8,11,22,May,4AGIL002.39_5,0.02222222222222224,0.12894127272727277,0.10303737441555383,-36.64444444444457
4AGIL002.39,6,9.558749999999995,5.9,16.2,29,June,4AGIL002.39_6,0.05000000000000012,0.11257170000000048,0.15725685130357636,-91.14000000000063
4AGIL002.39,7,9.877727272727272,7.2,12.26,23,July,4AGIL002.39_7,-0.10805555555555578,0.06301050000000064,0.006385605956099614,227.4191666666672
4AGIL002.39,8,9.323913043478255,4.5,12.23,27,August,4AGIL002.39_8,0.024230769230769167,0.12386679487178175,0.7313888072967528,-39.634230769230555
4AGIL002.39,9,8.599999999999998,6.67,10.35,20,September,4AGIL002.39_9,0.02022727272727268,0.05611070769230774,0.089694976806640625,-31.983636363636254
4AGIL002.39,10,3.4914999999999994,0.1,8.28999999999999,25,October,4AGIL002.39_10,0.07038095238095238,0.13374131764705882,0.1505594343516763,-136.98819047619048
4AROA018.36,7,7.634666666666665,5.4,8.68,15,July,4AROA018.36_7,3.3816425120742195e-4,0.008508044137021926,0.42120361328125006,7.15426282051285
4AROA018.36,8,7.493636363636363,6.91,8.36999999999999,11,August,4AROA018.36_8,0.018297101449275387,0.005789168025362322,0.004882812499999999,-29.393768115942102
4AROA018.36,9,6.522,3.2,7.98,10,September,4AROA018.36_9,0.08000000000000007,0.11897864999999985,0.3583264667488803,-153.6600000000003
4AROA038.49,5,4.313000000000001,0.25,8.55,10,May,4AROA038.49_5,-0.20252941176470585,0.1713660175438596,0.005889270041817481,411.93147058823536
4AROA038.49,6,5.71,2.65,8.6,10,June,4AROA038.49_6,0.07375000000000004,0.298991,0.41421617824252505,-144.86250000000018
4AROA038.49,7,6.044666666666665,0.15,9.69999999999999,15,July,4AROA038.49_7,0.07801449275362318,0.07743899130434784,0.13537597656250003,-149.72082608695652
4AROA038.49,8,5.4,0.86,10.3,14,August,4AROA038.49_8,0.017589285714285717,0.060827473684210515,0.8016843787266217,-30.247946428571403
4AROA140.66,5,4.23375,2.18,8.74,19,May,4AROA140.66_5,0.011262626262626271,0.05580046092503983,0.06636236908678254,-17.952828282828342
4AROA140.66,6,5.793636363636362,2.29999999999999,8.19999999999999,12,June,4AROA140.66_6,0.03186274509803919,0.08215083957219257,0.5195312499999999,-58.92715686274507
4AROA140.66,7,8.22235294117647,4.2,10.17,18,July,4AROA140.66_7,0.07426923076923075,0.043617695317725726,0.0020904541015625004,-140.05542307692295
4AROA140.66,8,9.027857142857142,6.06,10.54,17,August,4AROA140.66_8,0.03571428571428571,0.03724149999999865,0.14867854922651083,-62.442857142857456
4AROA140.66,9,6.561818181818181,3.8,10.09,12,September,4AROA140.66_9,0.0972222222222222,0.14867183333333336,0.06738281249999999,-188.14722222222218
4AROA140.66,10,4.487999999999999,1.7,8.93,14,October,4AROA140.66_10,0.08025000000000027,0.15790764347826106,0.3586391704612435,-157.26675000000054
