FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
2-JKS044.60,5,18.961111111111112,13,22.7,18,May,-0.03137254901960749,0.0997629911764698,0.7763579405343053
2-JKS044.60,6,24.918,22.2,26.5,15,June,0.06404761904761899,0.021470705882352992,3.051757812500001e-4
2-JKS044.60,7,26.47611111111111,23.8,29.1,18,July,0.038675213675213656,0.048537499999999935,0.3927383422851563
2-JKS044.60,8,26.052777777777777,24.03,27.6,18,August,4.166666666656949e-5,0.037065000000000264,0.4330404965037354
2-JKS044.60,9,23.497692307692308,20.6,25.24,13,September,0.09423076923076917,0.03706499999999999,7.324218750000004e-4
2-JKS044.60,10,18.071578947368423,15.56,21.75,19,October,0.013356643356643369,0.06209344055944061,0.9529838562011719
2-JKS046.40,5,18.86888888888889,13,22.5,18,May,-0.025909090909090923,0.07589499999999995,0.6950584569564157
2-JKS046.40,6,24.751333333333335,21.5,26.37,15,June,0.050555555555555326,0.031299333333333595,8.544921875000003e-4
2-JKS046.40,7,26.410555555555554,23.8,29.7,18,July,0.02900000000000009,0.07409198461538441,0.39403389900148794
2-JKS046.40,8,25.812941176470588,22.5,27.5,17,August,-5.892857142856763e-4,0.041027425,0.7466583251953126
2-JKS046.40,9,23.220769230769232,18.8,25.12,13,September,0.10101010101010102,0.07291110845295043,7.324218750000004e-4
2-JKS046.40,10,18.11111111111111,15.2,22,18,October,0.005511982570806022,0.07010580000000005,0.9322814941406251
2-JKS048.90,5,19.05,12.7,23,18,May,-0.03819875776397506,0.13815320537549422,0.9622437572510525
2-JKS048.90,6,24.97,22.3,26.9,13,June,0.056666666666666615,0.013590499999999901,0.0046386718750000035
2-JKS048.90,7,26.754444444444445,23.7,31.3,18,July,5.982905982905478e-4,0.055249025641025455,0.5712430483673426
2-JKS048.90,8,25.855555555555554,20.8,27.7,18,August,-0.003309957924263614,0.026625523185483762,0.8497958191741084
2-JKS048.90,9,23.49692307692308,20.3,25.2,13,September,0.1,0.046331249999999956,0.00415448857687542
2-JKS048.90,10,18.24736842105263,15.72,22.1,19,October,0.0031643356643357118,0.03781244181362113,0.8287849426269531
2-JKS053.48,5,19.215,13,24.6,18,May,-0.039374999999999494,0.20109776902173915,0.8985748291015626
2-JKS053.48,6,25.896923076923077,22.8,28.2,13,June,0.05571428571428579,0.04779313043478265,0.01708984375000001
2-JKS053.48,7,27.7225,24.7,31,16,July,-0.00204629629629633,0.0659649565217394,0.34868807754105313
2-JKS053.48,8,26.741176470588236,23.65,28.9,17,August,-0.017499999999999974,0.05694531818181826,0.32894897460937506
2-JKS053.48,9,23.6425,18.2,26.4,12,September,0.05437500000000006,0.1564045460526315,0.28921616397715166
2-JKS053.48,10,17.13764705882353,12.22,22.4,17,October,-0.06050505050505045,0.06181778787878798,0.004638671875000001
2-XDD000.40,5,23.718333333333334,18.4,31.34,13,May,0,0.6455928749999996,0.8384637819224636
2-XDD000.40,6,28.524545454545454,24.22,32.17,12,June,0.21596590909090896,0.21576884318181605,0.41308593749999994
2-XDD000.40,7,30.678666666666665,27.2,35.3,15,July,0.15333333333333293,0.2174480000000003,0.16882324218750003
2-XDD000.40,8,29.967586206896552,26.7,35.14,30,August,-0.2474999999999996,0.31505250000000073,1.946836709976195e-4
2-XDD000.40,9,26.15888888888889,20.9,31.51,10,September,0.1980000000000004,0.08952507878787819,0.00390625
2-XDD000.40,10,19.615384615384617,15.6,24.12,13,October,0.106,0.30218564999999986,0.047851562500000035
