FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
2-JKS044.60,8,26.052777777777777,24.03,27.6,18,August,2-JKS044.60_8,4.166666666656949e-5,0.037065000000000264,0.4330404965037354,26.166999999999994,TMax
2-JKS046.40,8,25.812941176470588,22.5,27.5,17,August,2-JKS046.40_8,-5.892857142856763e-4,0.041027425,0.7466583251953126,26.433357142857133,TMax
2-JKS048.90,8,25.855555555555554,20.8,27.7,18,August,2-JKS048.90_8,-0.003309957924263614,0.026625523185483762,0.8497958191741084,26.151702508960575,TMax
2-JKS053.48,8,26.741176470588236,23.65,28.9,17,August,2-JKS053.48_8,-0.017499999999999974,0.05694531818181826,0.32894897460937506,27.54201388888889,TMax
2-XDD000.40,8,29.967586206896552,26.7,35.14,30,August,2-XDD000.40_8,-0.2474999999999996,0.31505250000000073,1.946836709976195e-4,36.015,TMax
4ABSA000.62,8,27.433870967741935,25,29.9,31,August,4ABSA000.62_8,0.014195402298850543,0.05085558405172414,0.09416095819324254,27.016666666666666,TMax
4ABWR002.50,8,27.29875,25.1,29.86,32,August,4ABWR002.50_8,0.024999999999999835,0.04188345000000008,0.007705350482836403,26.50999999999999,TMax
4ABWR010.55,8,27.76794117647059,16,30.52,34,August,4ABWR010.55_8,0.011714285714285733,0.036407305263157864,0.009325829490798217,27.698999999999998,TMax
4ABWR017.42,8,28.261290322580646,25.78,30.54,31,August,4ABWR017.42_8,0.02166666666666655,0.037034304347826,0.010358627885580056,27.83861662531018,TMax
4ACCK001.80,8,28.21857142857143,24.54,30.1,28,August,4ACCK001.80_8,0.03833333333333326,0.04682544999999981,0.013914110567188009,27.151111111111106,TMax
4ACOA000.60,8,27.260689655172413,25,29.21,29,August,4ACOA000.60_8,0.017094017094016867,0.04333101621417741,0.09633177518844603,26.301709401709402,TMax
4AGIL002.39,8,27.978181818181817,25.59,30.6,33,August,4AGIL002.39_8,0.020714285714285907,0.04131864999999991,0.0029155178926885197,27.13996710526316,TMax
4AROA018.36,8,28.778,26,31,20,August,4AROA018.36_8,0.042707070707070735,0.032924414381720266,0.005410396461745989,27.290238095238088,TMax
4AROA038.49,8,28.919354838709676,23.89,32.22,31,August,4AROA038.49_8,0.04437499999999987,0.022490620121951365,2.507772296667096e-5,27.868666666666666,TMax
4AROA140.66,8,26.246666666666666,17.5,29.64,21,August,4AROA140.66_8,0.08909090909090914,0.041828257086999006,2.8610229492187496e-6,24.110000000000007,TMax
4AROA145.34,8,25.8445,17.9,28.79,20,August,4AROA145.34_8,0.0907894736842107,0.029998807017544066,9.542330812821135e-5,23.393111111111107,TMax
4AROA158.22,8,26.913939393939394,23.76,29.8,33,August,4AROA158.22_8,0.030666666666666655,0.021608468965517283,1.4457409270107781e-4,26.23068181818182,TMax
4AROA163.76,8,27.48057142857143,23.99,30.3,35,August,4AROA163.76_8,0.040726495726495594,0.02939856410256434,2.3741275072097826e-5,26.634166666666665,TMax
4AROA167.34,8,27.688709677419354,24.53,30.3,31,August,4AROA167.34_8,0.052991071428571415,0.047656297794117716,7.640225812792769e-4,26.363636363636363,TMax
4AROA175.63,8,28.157659574468084,23.89,30.8,47,August,4AROA175.63_8,0.024893617021276557,0.024243401595744618,2.983910108554739e-5,27.746376811594203,TMax
4AROA180.21,8,28.28794117647059,16.5,31.2,34,August,4AROA180.21_8,0.01759090909090911,0.05992539376710231,0.034267225652001805,28.233727272727272,TMax
4AROA183.64,8,28.043243243243243,16.8,31,37,August,4AROA183.64_8,0.050925925925925875,0.05296991204887743,2.882810222217819e-4,27.395384615384614,TMax
4AROA192.55,8,27.179444444444446,22.22,30,36,August,4AROA192.55_8,0.031534495021337094,0.04811182352941183,0.002491825521626175,26.85305418719212,TMax
4AROA192.94,8,26.565714285714286,21.4,29.1,35,August,4AROA192.94_8,-0.028530020703933782,0.03719110797101444,0.0026212062332376137,27.949063492063495,TMax
4AROA196.05,8,24.649302325581395,20.01,28.1,43,August,4AROA196.05_8,-0.012061369000786727,0.02918103245476004,0.07472612576088979,25.53975609756097,TMax
4ASRE046.90,8,27.753333333333334,24.5,30.04,30,August,4ASRE046.90_8,0.055382352941176424,0.04823289041666672,1.5640757289231723e-5,26.89779411764706,TMax
4ASRE048.98,8,28.41764705882353,25.1,30.11,17,August,4ASRE048.98_8,0.06950549450549458,0.04032798717948704,8.392333984375002e-4,26.618676470588234,TMax
4ASRE052.31,8,28.211875,25.8,30.41,16,August,4ASRE052.31_8,0.11535714285714294,0.03512350000000017,4.7925124105187495e-4,25.63535714285714,TMax
4ASRE056.06,8,28.308260869565217,24.4,30.8,23,August,4ASRE056.06_8,0.11268315018315028,0.06657428257918571,2.384185791015624e-6,25.729990842490842,TMax
4AWTH000.40,8,27.39862068965517,24.13,29.8,29,August,4AWTH000.40_8,0.03613636363636373,0.027877372727272722,0.005164276808500289,26.104464285714286,TMax
5ASRN000.66,8,27.23777777777778,24.59,29.1,10,August,5ASRN000.66_8,0.06833333333333366,0.08145475000000024,0.0546875,25.376666666666658,TMax
6ACNR000.00,8,26.676153846153845,22.5,29,14,August,6ACNR000.00_8,0.027499999999999858,0.22238999999999998,0.5292423599495986,27.136,TMax
6APNR008.15,8,26.438,22.4,31,15,August,6APNR008.15_8,0.09738095238095246,0.14982134615384615,0.032810019700258895,26.605705128205123,TMax
8-NAR047.69,8,29.549,28.05,31.35,20,August,8-NAR047.69_8,0.0216666666666667,0.06424599999999987,0.8960228268154501,28.66666666666668,TMax
8-NAR054.17,8,29.556842105263158,27.76,31.2,19,August,8-NAR054.17_8,-0.008461538461538418,0.04116749358974375,0.5152778625488281,30.0755,TMax
9-NEW087.14,8,26.470714285714287,23.8,29.61,42,August,9-NEW087.14_8,0.029310386473430015,0.03388428618153714,3.482159548968429e-4,25.631761904761902,TMax
9-NEW089.34,8,26.268048780487806,19.8,28.8,41,August,9-NEW089.34_8,0.027959183673469407,0.022311567944251036,2.6320902179577442e-5,25.605016666666664,TMax
9-NEW092.66,8,26.48512195121951,23.89,29,41,August,9-NEW092.66_8,0.02992753623188381,0.028369497282608912,1.932471604959577e-6,26.011363636363637,TMax
9-NEW098.32,8,26.341311475409835,23.8,28.59,61,August,9-NEW098.32_8,0.02499999999999991,0.030711000000000377,1.5317472455552073e-5,25.855882352941173,TMax
9-PKC000.00,8,26.693125,24,28.8,32,August,9-PKC000.00_8,0.018749999999999968,0.029973229999999938,0.02308827186589476,26.213743315508015,TMax
9-PKC004.16,8,26.845,24,29.3,32,August,9-PKC004.16_8,0.02499999999999991,0.03755919999999974,0.016257792531559834,26.3575,TMax
