StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,-4.970122090461159e-4,2.4227963581852674e-4,0.010757133119789637,DOMean
2-JKS046.40,-4.169294337969805e-4,2.2137902966986025e-4,0.006780347000164037,DOMean
2-JKS048.90,-2.889848511738361e-4,4.612666647211494e-4,0.1259438386422662,DOMean
4ABSA000.62,1.2029530807235872e-4,7.531736717697352e-4,0.4169361234219422,DOMean
4ABWR002.50,2.81194334473318e-4,5.955225605054462e-4,0.15309713331190888,DOMean
4ABWR010.55,2.558417537981914e-4,7.86208500559584e-4,0.11910136936264687,DOMean
4ABWR017.42,-0.0010938193786129194,5.826649549026332e-4,0.009016036987304686,DOMean
4ACCK001.80,5.713969047408761e-5,2.698556666045352e-4,0.4953505169961404,DOMean
4ACOA000.60,1.8467315913151184e-4,5.853559544990841e-4,0.4627776145935058,DOMean
4AGIL002.39,-1.2696569871160915e-4,5.506105737607109e-4,0.7023849487304686,DOMean
4AROA018.36,2.499386214301793e-4,5.860799485610977e-4,0.5195312499999999,DOMean
4AROA038.49,0.0015775202719581272,9.368184354355763e-4,0.024414062499999997,DOMean
4AROA140.66,3.828710750331064e-5,5.856989463476698e-4,0.18762207031250003,DOMean
4AROA145.34,5.363162162880718e-4,6.939070720225644e-4,0.002014160156250001,DOMean
4AROA158.22,3.551423620864845e-4,3.848795054703438e-4,0.005784347055451217,DOMean
4AROA163.76,1.1397688383270096e-4,4.994066821439566e-4,0.12701332858361858,DOMean
4AROA167.34,4.89151574672055e-4,2.6002412940001905e-4,0.0034767874777355957,DOMean
4AROA175.63,-2.965472146475639e-4,5.717910541746319e-4,0.16010499000549314,DOMean
4AROA180.21,-3.387070800640739e-4,5.976989002572941e-4,0.1411346700580805,DOMean
4AROA183.64,-5.64817553787037e-4,7.797615052800402e-4,0.05031893850059975,DOMean
4AROA192.94,-2.470046111150486e-4,9.477139509745594e-4,0.026793599006439135,DOMean
4ASRE046.90,-3.277214833347263e-4,8.478905553118019e-4,0.37573242187500017,DOMean
4ASRE048.98,-4.0944144139630565e-4,2.0681684365207338e-4,0.021484375000000014,DOMean
4ASRE052.31,-5.987197781358071e-4,3.497401609057934e-4,0.014369289443602941,DOMean
4ASRE056.06,9.666180787299501e-4,5.894707126416407e-4,0.0034179687500000026,DOMean
4AWTH000.40,1.413169741400042e-4,4.189886730325262e-4,0.17267864661844834,DOMean
8-NAR047.69,1.7849446955554924e-4,6.941359484884019e-4,0.24349975585937503,DOMean
8-NAR054.17,-0.0010478283946968687,8.231873253117605e-4,0.17260742187500003,DOMean
9-NEW087.14,-2.240675689004312e-4,7.144579776919562e-4,0.6010458469390868,DOMean
9-NEW089.34,2.3628038967776814e-4,7.455217811956634e-4,0.13413381576538083,DOMean
9-NEW092.66,4.482240938915899e-4,6.573052791446342e-4,0.05222988128662109,DOMean
9-NEW098.32,4.0437383850585554e-4,6.256892684207339e-4,0.001027107238769531,DOMean
9-PKC000.00,8.414723071402146e-5,8.221252909128011e-4,0.4100396633148193,DOMean
9-PKC004.16,6.021625683209293e-5,0.0010938200569777352,0.300133466720581,DOMean
