variable,month,reservoir,coefficient,coef.error,p.val,RSQR
DOMean,May,Moomaw,-0.0057,0.0029,0.2973,0.5946
DOMean,June,Moomaw,-0.0061,0.0045,0.4032,0.2995
DOMean,July,Moomaw,-0.0172,0.0013,0.0473,0.989
DOMean,August,Moomaw,0.002,0.001,0.2953,0.5997
DOMean,September,Moomaw,-0.008,0.004,0.2968,0.5959
DOMean,October,Moomaw,0.0239,NA,NA,NA
DOMean,All Months,Moomaw,-0.0076,0.0039,0.3055,0.5736
DOMean,May,Philpott,-8e-4,5e-4,0.2582,0.3254
DOMean,June,Philpott,0.0092,0.0036,0.1265,0.6444
DOMean,July,Philpott,0.001,0.0028,0.7595,-0.4133
DOMean,August,Philpott,0.0113,0.0028,0.0569,0.8342
DOMean,September,Philpott,0.009,0.0059,0.3682,0.4023
DOMean,October,Philpott,-0.0117,0.0143,0.4988,-0.1232
DOMean,All Months,Philpott,0.0027,0.0034,0.5041,-0.1311
DOMean,May,Claytor,0.0037,0.0022,0.2338,0.3805
DOMean,June,Claytor,-7e-4,0.0037,0.8734,-0.476
DOMean,July,Claytor,0.0047,0.0025,0.1945,0.4732
DOMean,August,Claytor,0.0077,0.0039,0.1867,0.4921
DOMean,September,Claytor,0.0032,0.0011,0.1084,0.6925
DOMean,October,Claytor,-0.0025,0.0042,0.6093,-0.271
DOMean,All Months,Claytor,0.0027,0.0011,0.1314,0.6316
DOMean,May,Kerr-Leesville-Smith Mountain,4e-4,3e-4,0.2292,0.0717
DOMean,June,Kerr-Leesville-Smith Mountain,4e-4,7e-4,0.6269,-0.0902
DOMean,July,Kerr-Leesville-Smith Mountain,-0.0013,4e-4,0.0082,0.5094
DOMean,August,Kerr-Leesville-Smith Mountain,-8e-4,4e-4,0.0669,0.2504
DOMean,September,Kerr-Leesville-Smith Mountain,2e-4,5e-4,0.7069,-0.104
DOMean,October,Kerr-Leesville-Smith Mountain,5e-4,5e-4,0.3836,-0.0173
DOMean,All Months,Kerr-Leesville-Smith Mountain,-2e-4,3e-4,0.4637,-0.0432
DOMin,May,Moomaw,-0.0091,0.0097,0.5202,-0.0633
DOMin,June,Moomaw,-0.0288,0.0081,0.1742,0.8539
DOMin,July,Moomaw,-0.0197,0.0188,0.4846,0.0483
DOMin,August,Moomaw,0.0162,0.0072,0.2674,0.6674
DOMin,September,Moomaw,0.0078,0.0016,0.1328,0.9142
DOMin,October,Moomaw,-0.0091,NA,NA,NA
DOMin,All Months,Moomaw,-0.0072,0.0044,0.3481,0.4592
DOMin,May,Philpott,-0.012,0.004,0.0956,0.7269
DOMin,June,Philpott,0.0048,0.0077,0.6011,-0.2614
DOMin,July,Philpott,0.0057,0.0049,0.3613,0.112
DOMin,August,Philpott,0.005,0.0071,0.55,-0.1962
DOMin,September,Philpott,0.0025,0.0014,0.3319,0.5039
DOMin,October,Philpott,0.0013,0.0016,0.4924,-0.1135
DOMin,All Months,Philpott,9e-4,0.0034,0.81,-0.4459
DOMin,May,Claytor,0.01,0.009,0.3835,0.0701
DOMin,June,Claytor,0.0044,0.0015,0.0982,0.7199
DOMin,July,Claytor,0.0048,0.0022,0.1558,0.569
DOMin,August,Claytor,0.013,0.0048,0.1154,0.6737
DOMin,September,Claytor,0.0042,0.0017,0.1333,0.6267
DOMin,October,Claytor,-0.0021,0.003,0.5646,-0.2157
DOMin,All Months,Claytor,0.0057,0.0025,0.1505,0.5825
DOMin,May,Kerr-Leesville-Smith Mountain,-9e-4,8e-4,0.2949,0.0276
DOMin,June,Kerr-Leesville-Smith Mountain,0.0016,0.001,0.1542,0.1409
DOMin,July,Kerr-Leesville-Smith Mountain,2e-4,4e-4,0.6635,-0.0867
DOMin,August,Kerr-Leesville-Smith Mountain,1e-4,4e-4,0.8793,-0.1081
DOMin,September,Kerr-Leesville-Smith Mountain,1e-4,3e-4,0.7825,-0.1137
DOMin,October,Kerr-Leesville-Smith Mountain,1e-4,0.001,0.9537,-0.1423
DOMin,All Months,Kerr-Leesville-Smith Mountain,2e-4,3e-4,0.5457,-0.0645
DORange,May,Moomaw,0.0197,0.002,0.0659,0.9786
DORange,June,Moomaw,0.0717,0.0225,0.1935,0.8208
DORange,July,Moomaw,0.0045,0.0083,0.6829,-0.5435
DORange,August,Moomaw,-0.0156,0.0056,0.2177,0.7751
DORange,September,Moomaw,-0.0118,9e-4,0.0468,0.9892
